Run #1 BSF,Run #2 BSF,Run #3 BSF,Run #4 BSF,Run #5 BSF,Run #6 BSF,Run #7 BSF,Run #8 BSF,Run #9 BSF,Run #10 BSF
23.5625,47.8125,81.5625,98.0,125.5625,173.125,208.8125,242.5,221.0,307.8125
32.125,50.5,81.5625,94.8125,131.125,173.125,216.8125,247.8125,221.625,308.8125
32.125,50.5,84.5,101.8125,131.125,173.125,216.8125,247.8125,227.3125,308.8125
32.125,48.3125,84.5,94.5625,133.5625,169.0625,216.0625,236.5625,238.0625,308.8125
32.125,52.8125,78.25,98.125,134.5625,159.25,212.125,232.25,238.0625,307.8125
32.125,45.25,81.3125,94.5625,134.5625,159.25,205.8125,236.8125,238.0625,314.5
25.0,42.8125,81.3125,91.25,135.8125,161.3125,206.5625,231.625,243.125,302.125
28.25,45.25,81.3125,94.5625,135.8125,161.3125,206.5625,231.625,249.0625,307.8125
28.25,45.25,81.3125,94.5625,138.125,162.8125,211.25,236.8125,249.0625,315.625
28.25,50.125,72.5,94.5625,147.625,161.3125,210.625,236.8125,249.0625,297.8125
28.25,50.125,75.0625,94.8125,147.625,161.3125,211.25,236.8125,249.0625,297.8125
30.3125,50.125,84.5,94.8125,146.5,161.3125,210.625,226.0625,254.25,295.5625
30.3125,52.5625,84.5,94.8125,147.625,161.3125,215.5625,231.25,255.125,295.5625
34.3125,52.5625,84.5,98.125,156.25,161.3125,221.0,236.5625,266.5,313.625
32.5,50.125,87.8125,98.125,156.25,161.3125,221.0,236.8125,271.8125,319.5625
36.25,52.5625,87.8125,98.125,156.25,173.125,221.0,242.5,271.8125,310.0625
36.25,55.125,87.8125,94.8125,145.625,164.0,221.625,236.8125,261.3125,315.625
36.25,52.5625,84.5,95.3125,145.625,170.3125,221.625,236.8125,261.3125,315.625
36.25,55.25,84.5,95.3125,150.3125,178.3125,226.0625,242.125,265.625,315.625
38.5625,58.0625,84.625,99.125,150.3125,183.625,231.625,237.3125,271.8125,315.625
36.125,58.0625,81.5625,99.125,149.5625,182.5,231.625,231.625,261.3125,310.0625
38.3125,58.0625,85.0,102.3125,149.5625,182.5,231.625,237.3125,278.125,310.0625
38.3125,58.0625,85.0,102.3125,154.25,182.5,231.625,238.0625,278.125,322.5625
40.5,61.0,85.0,102.3125,150.3125,181.0625,242.125,237.3125,284.5625,328.25
40.625,66.25,88.0625,102.3125,150.3125,183.625,242.5,243.125,283.5625,328.25
43.0625,60.625,88.0625,106.25,154.25,197.5625,242.5,249.0625,283.5625,315.625
40.5,69.3125,88.0625,109.0625,157.8125,193.25,242.5,249.0625,290.0,327.125
40.5,69.3125,91.625,112.625,159.0625,193.25,247.8125,255.125,290.0,327.125
40.625,69.8125,94.5625,106.25,159.0625,190.5625,249.0625,249.0625,290.0,333.0625
40.5,69.8125,87.8125,110.3125,160.0625,190.5625,244.0,255.125,290.0,328.25
42.8125,75.3125,87.8125,117.8125,165.125,198.8125,250.0625,247.8125,284.5625,326.25
42.8125,78.625,87.8125,117.8125,161.3125,200.3125,249.0625,247.8125,283.5625,321.3125
42.8125,82.0625,87.8125,122.125,160.0625,200.3125,250.0625,243.125,291.125,308.8125
47.5625,82.0625,88.0625,121.25,161.3125,200.3125,250.0625,243.125,303.25,315.625
43.0625,78.625,87.8125,125.5625,164.0,204.5,250.0625,243.125,290.0,315.625
50.0,78.625,88.0625,122.125,164.0,204.5,238.0625,244.0,295.5625,315.625
50.0,78.25,87.8125,122.125,164.0,208.8125,236.8125,244.0,302.125,322.5625
47.8125,81.3125,91.25,122.125,164.0,213.25,236.8125,242.125,302.125,315.625
47.5625,81.5625,94.5625,122.125,168.0625,208.8125,237.3125,226.0625,302.125,321.3125
47.5625,84.625,98.0,125.5625,168.0625,208.8125,237.3125,221.0,302.125,322.5625
