Run #1 Avg Fit,Run #2 Avg Fit,Run #3 Avg Fit,Run #4 Avg Fit,Run #5 Avg Fit,Run #6 Avg Fit,Run #7 Avg Fit,Run #8 Avg Fit,Run #9 Avg Fit,Run #10 Avg Fit
20.25625,42.2375,71.225,91.25,116.08125,154.30624,192.1125,227.6625,214.95,296.84375
25.84375,41.3625,74.55625,90.6,122.70625,156.0875,195.15,228.9,213.3125,297.94376
24.9625,38.78125,76.99375,90.5875,123.90625,155.025,194.30624,231.43124,213.90625,296.6
23.86875,40.13125,75.175,88.83125,123.575,149.05624,192.11874,225.99374,217.81876,292.6125
26.21875,39.59375,72.41875,91.25,126.9125,148.775,187.48125,225.03125,221.03125,295.2375
26.25,38.8875,72.7125,89.175,132.06876,149.84375,189.43124,221.69376,223.11874,292.875
24.28125,39.50625,69.49375,88.86875,132.4,146.2,197.65625,224.35,228.2125,295.03125
24.2125,40.2,67.14375,89.56875,130.84375,143.34375,201.64375,224.68124,233.4375,291.70624
24.8625,40.2375,66.325,91.3375,134.36874,142.01875,203.58125,223.1375,236.8375,294.41876
25.34375,43.25625,66.54375,90.65,136.05624,139.7125,204.975,223.1625,237.95,291.7375
25.8125,44.69375,66.8875,90.25625,133.45,143.6625,206.9375,223.1125,237.68124,286.30624
26.1375,45.3875,71.39375,87.3,135.775,143.38126,207.6375,219.16875,242.6,288.8625
26.925,46.75,73.76875,87.35,134.7625,145.11874,210.6625,220.9,249.64375,290.11874
28.61875,47.775,77.1125,88.2125,141.8625,148.80624,210.16875,224.68124,252.21875,300.2625
28.61875,47.44375,79.0,90.56875,141.46875,148.9625,209.6375,225.225,255.1,296.66876
31.9125,50.0375,77.8625,87.96875,138.0875,156.06876,215.24374,227.275,252.14375,299.75
32.06875,51.39375,77.1875,88.73125,136.9,154.04375,214.75,227.76875,250.2875,303.325
32.99375,50.41875,75.70625,87.125,137.34375,154.99374,217.29375,229.3875,250.4,302.94376
32.75,52.675,74.43125,90.4875,139.25626,163.25,218.39375,227.86874,250.50626,299.65
33.8375,53.7375,75.9125,92.20625,142.49374,159.525,218.49374,227.90625,251.65625,301.69376
32.4625,54.8375,76.36875,94.44375,139.64375,160.375,219.66875,222.70625,249.2875,299.56876
33.15625,54.56875,76.1375,97.475,142.01875,162.0,219.225,231.775,259.66876,299.48126
35.3625,55.4125,77.8625,95.9125,143.25,162.10625,220.99374,232.0125,266.725,308.56876
36.625,55.76875,79.40625,95.85,144.9375,167.925,226.44376,232.56876,266.2875,310.81876
36.225,55.0125,80.2875,99.35,146.6125,171.73125,226.53125,235.325,265.775,311.475
36.725,52.6125,76.6375,99.04375,148.1875,180.68124,226.41875,235.3875,269.2625,311.325
36.53125,55.875,76.34375,96.09375,148.59375,180.89375,230.3625,239.9125,276.90625,312.375
38.11875,60.275,81.28125,101.325,146.10625,183.69376,232.13126,237.5625,273.1375,313.7375
36.84375,60.65,80.16875,97.49375,150.0875,181.0375,234.59375,237.14375,276.04376,313.13126
37.9375,61.15,79.45625,96.5625,149.9625,178.875,233.0375,235.88126,270.18124,313.45
37.525,64.275,77.975,94.78125,152.80624,182.025,232.70625,232.7875,275.875,309.10626
37.79375,70.375,80.45,95.75,153.2125,179.9,231.0625,233.0125,275.03125,304.16876
38.925,72.19375,79.3375,101.0,152.35625,179.7375,232.9375,235.2875,277.73126,301.60626
40.01875,71.76875,80.1875,105.25,154.5875,178.79375,231.58125,234.51875,280.55,301.54376
39.3875,68.65625,79.96875,103.61875,155.13126,184.5875,228.50626,233.9875,277.825,301.55624
42.00625,63.78125,81.3125,105.06875,155.8375,174.88126,228.9125,235.75626,282.7,300.15625
43.575,66.1625,78.9125,103.2375,156.65,183.51875,225.725,228.65,281.10626,305.35
43.5375,70.13125,82.525,105.34375,159.1,193.00626,224.28125,219.44376,283.09375,303.09375
40.8125,71.325,84.58125,105.825,156.775,188.05,220.6375,216.8,288.45,300.925
41.2,72.84375,88.7625,116.28125,158.0125,188.9875,224.7375,212.6625,296.63126,304.11874
