,Order ID,Inventory Level,Time Between Demands,Demand Size,Status,Items to Order,Cost,Arrival Time
0,1,100,21,40,Success,0,0,0
1,2,60,20,20,Success,0,0,0
2,3,40,16,40,Success,0,0,0
3,4,0,17,40,Fail,40,152,18
4,5,0,19,10,Fail,10,72,29
5,6,0,21,10,Fail,10,82,18
6,7,0,21,40,Fail,40,272,18
7,8,0,17,20,Fail,20,172,29
8,9,0,15,20,Fail,20,192,18
9,10,0,19,40,Fail,40,392,29
10,11,0,16,40,Fail,40,432,24
11,12,0,19,40,Fail,40,472,16
12,13,0,18,20,Fail,20,272,30
13,14,0,15,40,Fail,40,552,22
14,15,0,16,20,Fail,20,312,24
15,16,0,15,20,Fail,20,332,27
16,17,0,18,20,Fail,20,352,26
17,18,0,17,40,Fail,40,712,26
18,19,0,17,40,Fail,40,752,29
19,20,0,18,40,Fail,40,792,16
20,21,0,15,40,Fail,40,832,29
21,22,0,21,10,Fail,10,242,18
22,23,0,19,40,Fail,40,912,17
23,24,0,20,10,Fail,10,262,19
24,25,0,16,10,Fail,10,272,26
25,26,0,15,40,Fail,40,1032,31
26,27,0,21,10,Fail,10,292,21
27,28,0,18,10,Fail,10,302,27
28,29,0,17,40,Fail,40,1152,19
29,30,0,17,40,Fail,40,1192,29
30,31,0,16,20,Fail,20,632,31
31,32,0,19,40,Fail,40,1272,17
32,33,0,16,40,Fail,40,1312,17
33,34,0,18,40,Fail,40,1352,17
34,35,0,19,40,Fail,40,1392,21
35,36,0,21,40,Fail,40,1432,28
36,37,0,19,10,Fail,10,392,24
37,38,0,16,40,Fail,40,1512,31
38,39,0,15,10,Fail,10,412,20
39,40,0,18,10,Fail,10,422,30
40,41,0,15,40,Fail,40,1632,17
41,42,0,16,40,Fail,40,1672,28
42,43,0,16,40,Fail,40,1712,21
43,44,0,16,20,Fail,20,892,30
44,45,0,21,10,Fail,10,472,21
45,46,0,19,40,Fail,40,1832,26
46,47,0,20,40,Fail,40,1872,17
47,48,0,18,20,Fail,20,972,22
48,49,0,18,20,Fail,20,992,28
49,50,0,15,40,Fail,40,1992,28
50,51,0,21,40,Fail,40,2032,31
51,52,0,15,20,Fail,20,1052,25
52,53,0,18,40,Fail,40,2112,27
53,54,0,20,40,Fail,40,2152,29
54,55,0,16,20,Fail,20,1112,25
55,56,0,21,40,Fail,40,2232,26
56,57,0,15,40,Fail,40,2272,31
57,58,0,17,40,Fail,40,2312,15
58,59,0,16,20,Fail,20,1192,30
59,60,0,18,20,Fail,20,1212,24
60,61,0,17,20,Fail,20,1232,17
61,62,0,18,40,Fail,40,2472,17
62,63,0,16,20,Fail,20,1272,25
63,64,0,17,20,Fail,20,1292,20
64,65,0,20,10,Fail,10,672,21
65,66,0,20,10,Fail,10,682,30
66,67,0,17,40,Fail,40,2672,16
67,68,0,17,40,Fail,40,2712,25
68,69,0,17,40,Fail,40,2752,18
69,70,0,15,40,Fail,40,2792,26
70,71,0,17,10,Fail,10,732,17
71,72,0,15,10,Fail,10,742,27
72,73,0,16,20,Fail,20,1472,28
73,74,0,15,20,Fail,20,1492,15
74,75,0,16,20,Fail,20,1512,30
75,76,0,21,40,Fail,40,3032,22
76,77,0,17,40,Fail,40,3072,18
77,78,0,15,40,Fail,40,3112,30
78,79,0,18,20,Fail,20,1592,21
79,80,0,19,10,Fail,10,822,15
80,81,0,15,20,Fail,20,1632,30
81,82,0,19,40,Fail,40,3272,31
82,83,0,20,40,Fail,40,3312,23
83,84,0,17,40,Fail,40,3352,30
84,85,0,18,20,Fail,20,1712,28
85,86,0,16,10,Fail,10,882,31
86,87,0,21,10,Fail,10,892,16
87,88,0,18,40,Fail,40,3512,19
88,89,0,21,40,Fail,40,3552,30
89,90,0,18,20,Fail,20,1812,31
90,91,0,16,40,Fail,40,3632,16
91,92,0,21,40,Fail,40,3672,30
92,93,0,18,40,Fail,40,3712,15
93,94,0,16,20,Fail,20,1892,21
94,95,0,15,40,Fail,40,3792,23
95,96,0,15,10,Fail,10,982,30
96,97,0,20,10,Fail,10,992,15
97,98,0,17,40,Fail,40,3912,28
98,99,0,21,20,Fail,20,1992,25
99,100,0,15,20,Fail,20,2012,16
